epoch,phase,node0_memfree_kb,global_memavailable_kb,top_py_pid,top_py_vmrss_kb
1785935926,p348,13438592,703628096,0,0
1785935930,p348,13460800,703612288,0,0
1785935933,p348,13390784,703596352,0,0
1785935937,p348,13433792,703661120,0,0
1785935941,p348,13485376,703676864,0,0
1785935944,p348,13565632,703737984,0,0
1785935948,p348,13673088,703858688,0,0
1785935952,p348,13558784,703820352,0,0
1785935955,p348,13584128,703879296,0,0
1785935959,p348,13618240,704083136,0,0
1785935963,p348,13619904,704009856,0,0
1785935966,p348,13526080,703752768,0,0
1785935970,p348,13491840,703686912,0,0
1785935973,p348,13299840,703405440,0,0
1785935977,p348,13350144,703405120,0,0
1785935981,p348,13008640,703034752,0,0
1785935984,p348,12681152,702740032,0,0
1785935988,p348,12608000,702738496,0,0
1785935992,p348,12480704,702585728,0,0
1785935995,p348,12378944,702559936,0,0
1785935999,p348,12498304,702770240,0,0
1785936003,p348,12591552,702868800,0,0
1785936006,p348,12622720,702897216,0,0
1785936010,p348,12558656,702871488,0,0
1785936014,p348,12766144,703056000,0,0
1785936017,p348,12799168,703161664,0,0
1785936021,p348,12780224,703183936,0,0
1785936025,p348,12774720,703145216,0,0
1785936028,p348,12678144,702997376,0,0
1785936032,p348,12707200,703123008,0,0
1785936036,p348,12752256,703152640,0,0
1785936039,p348,12822272,703176448,0,0
1785936043,p348,12774528,703183680,0,0
1785936047,p348,12697984,703009088,0,0
1785936050,p348,12736320,703142144,0,0
1785936054,p348,12719104,703031936,0,0
1785936058,p348,12634496,702970880,0,0
1785936061,p348,12585984,702953152,0,0
1785936065,p348,12623808,702978176,0,0
1785936069,p348,12637632,702989376,0,0
1785936072,p348,12624000,702941568,0,0
1785936076,p348,12620992,702984384,0,0
1785936080,p348,12803200,703133824,0,0
1785936083,p348,12750080,703129920,0,0
1785936087,p348,12967744,703278656,0,0
1785936091,p348,12977088,703285248,0,0
1785936094,p348,12875008,703185024,0,0
1785936098,p348,12982336,703313664,0,0
1785936102,p348,12948480,703288256,0,0
1785936105,p348,12934720,703399552,0,0
1785936109,p348,12942400,703320640,0,0
1785936112,p348,12850560,703342848,0,0
1785936116,p348,12855168,703304448,0,0
1785936120,p348,12878528,703312640,0,0
1785936123,p348,12892352,703349952,0,0
1785936127,p348,12782976,703231680,0,0
1785936131,p348,12841664,703293888,0,0
1785936134,p348,12831360,703315584,0,0
1785936138,p348,12892288,703330752,0,0
1785936142,p348,12768512,703176704,0,0
1785936145,p348,12859264,703310784,0,0
1785936149,p348,12819008,703238912,0,0
1785936153,p348,12727232,703143360,0,0
1785936156,p348,12788096,703246848,0,0
1785936160,p348,12870400,703390720,0,0
1785936164,p348,12814656,703342528,0,0
1785936167,p348,12833792,703330752,0,0
1785936171,p348,12760064,703282048,0,0
1785936174,p348,12682816,703130176,0,0
1785936178,p348,12700864,703279744,0,0
1785936182,p348,12811968,703443520,0,0
1785936185,p348,12825024,703499072,0,0
1785936189,p348,12848128,703550848,0,0
1785936193,p348,12819776,703544320,0,0
1785936196,p348,12922176,703654080,0,0
1785936200,p348,12871360,703748160,0,0
1785936204,p348,12979200,703867776,0,0
1785936207,p348,12878400,703669888,0,0
1785936211,p348,13096000,703893120,0,0
1785936215,p348,13166080,703921216,0,0
1785936218,p348,13134080,703937024,0,0
1785936222,p348,13070976,703730560,0,0
1785936226,p348,13110336,703755072,0,0
1785936229,p348,13170880,703868352,0,0
1785936233,p348,13101888,703871232,0,0
1785936237,p348,13046656,703797568,0,0
1785936240,p348,13192640,703907904,0,0
1785936244,p348,13112576,703826432,0,0
1785936248,p348,13136448,703772992,0,0
1785936251,p348,13303360,703892224,0,0
1785936255,p348,13162240,703789824,0,0
1785936259,p348,13160704,703699776,0,0
1785936262,p348,13154496,703645056,0,0
1785936266,p348,13090112,703616576,0,0
1785936270,p348,13081152,703612608,0,0
1785936273,p348,13289088,703867712,0,0
1785936277,p348,13321216,703942720,0,0
1785936281,p348,13337088,703888128,0,0
1785936284,p348,13510976,704115392,0,0
1785936288,p348,13529920,704136960,0,0
1785936291,p348,13495808,704050496,0,0
1785936295,p348,13387136,703934016,0,0
1785936299,p348,13305024,703915520,0,0
1785936302,p348,13356352,704064960,0,0
1785936306,p348,13340096,704049408,0,0
1785936310,p348,13442112,704152064,0,0
1785936313,p348,13392128,704180096,0,0
1785936317,p348,13295744,703991808,0,0
1785936320,p348,13310592,704111232,0,0
1785936324,p348,13387328,704124800,0,0
1785936328,p348,13505792,704221760,0,0
1785936331,p348,13419392,704188096,0,0
1785936335,p348,13577216,704345088,0,0
1785936339,p348,13612096,704342400,0,0
1785936342,p348,13582528,704246976,0,0
1785936346,p348,13592960,704216064,0,0
1785936349,p348,13554688,704271488,0,0
1785936353,p348,13589568,704316544,0,0
1785936357,p348,13553216,704360640,0,0
1785936360,p348,13569728,704436800,0,0
1785936364,p348,13602688,704486016,0,0
1785936368,p348,13527552,704434432,0,0
1785936371,p348,13592960,704482688,0,0
1785936375,p348,13548288,704437632,0,0
1785936379,p348,13507648,704313728,0,0
1785936382,p348,13648448,704454400,0,0
1785936386,p348,13631872,704463808,0,0
1785936390,p348,13763328,704554560,0,0
1785936393,p348,13625984,704530176,0,0
1785936397,p348,13593408,704499968,0,0
1785936401,p348,13527552,704380608,0,0
1785936404,p348,13570688,704502592,0,0
1785936408,p348,13605888,704556544,0,0
1785936411,p348,13608192,704574272,0,0
1785936415,p348,13491648,704430656,0,0
1785936419,p348,13521792,704425600,0,0
1785936422,p348,13443328,704333952,0,0
1785936426,p348,13453312,704402048,0,0
1785936430,p348,13436928,704454464,0,0
1785936433,p348,13447104,704508544,0,0
1785936437,p348,13429184,704500736,0,0
1785936441,p348,13563072,704629696,0,0
1785936444,p348,13682240,704682944,0,0
1785936448,p348,13667648,704684288,0,0
1785936452,p348,13758080,704811648,0,0
1785936455,p348,13792128,704879744,0,0
1785936459,p348,13940480,705016960,0,0
1785936462,p348,13999744,705127488,0,0
1785936466,p348,13931008,705153984,0,0
1785936470,p348,13884160,704991808,0,0
1785936473,p348,16290752,709176768,0,0
1785936477,p348,21576000,714445440,0,0
1785936480,p348,31454400,730879040,0,0
1785936484,p348,35731904,736080192,0,0
1785936488,p348,58199168,960817344,0,0
1785936491,p348,372694080,1437593984,0,0
1785936495,p348,419282112,1674072768,0,0
1785936498,p348,419168064,1674347392,0,0
1785936502,p348,419089600,1674231936,0,0
1785936506,p348,419071360,1674259264,0,0
1785936509,p348,418826880,1674065792,0,0
1785936513,p348,418633728,1673777280,0,0
1785936516,p348,418715520,1673777536,0,0
1785936520,p348,418785408,1673991296,0,0
1785936523,p348,418624640,1673845504,0,0
1785936527,p348,418797440,1674052544,0,0
1785936530,p348,418918720,1674148928,0,0
1785936534,p348,418784512,1673992768,0,0
1785936537,p348,418819584,1673991488,0,0
1785936541,p348,418882624,1674225664,0,0
1785936544,p348,419027200,1674333568,0,0
1785936548,p348,418966208,1674074176,0,0
1785936551,p348,418950528,1674254144,0,0
1785936555,p348,418893632,1674245824,0,0
1785936558,p348,418822912,1674212800,0,0
1785936562,p348,418774848,1674272960,0,0
1785936565,p348,418816000,1674095040,0,0
1785936569,t2b348,418722048,1674297344,0,0
1785936572,t2b348,418699584,1674303232,0,0
1785936576,t2b348,418738112,1674369792,0,0
1785936579,t2b348,418796224,1674461504,0,0
1785936583,t2b348,418778368,1674460096,0,0
1785936587,t2b348,418802240,1674505280,0,0
1785936590,t2b348,418913024,1674632768,0,0
1785936594,t2b348,418984960,1674725184,0,0
1785936597,t2b348,418875648,1674633856,0,0
1785936601,t2b348,418857344,1674511296,0,0
1785936604,t2b348,418729152,1674280768,0,0
1785936608,t2b348,418808832,1673416128,0,0
1785936611,t2b348,418857792,1674148032,0,0
1785936615,t2b348,418985216,1674270400,0,0
1785936619,t2b348,418784000,1673968960,0,0
1785936622,t2b348,418700480,1670515456,0,0
1785936626,t2b348,418735104,1669276032,0,0
1785936630,t2b348,418516992,1668286528,0,0
1785936633,t2b348,418498496,1667421248,0,0
1785936637,t2b348,418486976,1666770496,0,0
1785936641,t2b348,418601984,1666240832,0,0
1785936644,t2b348,418634624,1665581760,0,0
1785936648,t2b348,418798400,1665042624,0,0
1785936652,t2b348,418698432,1664403520,0,0
1785936655,t2b348,418848512,1663904384,0,0
1785936659,t2b348,418623040,1662937856,0,0
1785936662,t2b348,418525312,1662274880,0,0
1785936666,t2b348,418610752,1661505920,0,0
1785936670,t2b348,418553856,1657716800,0,0
1785936673,t2b348,418540352,1656907584,0,0
1785936678,t2b348,418499904,1671819136,0,0
1785936682,t2b348,343495360,1605579840,0,0
1785936688,t2b348,257293824,1486398592,0,0
1785936691,t2b348,218586880,1408002880,0,0
1785936695,t2b348,228401920,1402155264,0,0
1785936699,t2b348,237374592,1394981824,0,0
1785936702,t2b348,246781248,1386732992,0,0
1785936706,t2b348,255972160,1375825664,0,0
1785936710,t2b348,267738048,1372313536,0,0
1785936714,t2b348,276526720,1361855936,0,0
1785936717,t2b348,288014464,1356945600,0,0
1785936721,t2b348,299347136,1349294208,0,0
1785936725,t2b348,308404992,1336267136,0,0
1785936729,t2b348,317562496,1330238656,0,0
1785936733,t2b348,310610304,1323300864,0,0
1785936737,t2b348,305275904,1317967680,0,0
1785936740,t2b348,300280192,1312973760,0,0
1785936744,t2b348,299772160,1314738816,0,0
1785936747,t2b348,299343552,1314327360,0,0
1785936751,t2b348,299211264,1314182976,0,0
1785936755,t2b348,299274624,1314118144,0,0
1785936758,t2b348,298892928,1313748096,0,0
1785936762,t2b348,298683712,1313532544,0,0
1785936765,t2b348,298531968,1313394624,0,0
1785936769,t2b348,298600768,1313450816,0,0
1785936773,t2b348,298674560,1313506752,0,0
1785936776,t2b348,298724352,1313564352,0,0
1785936780,t2b348,298853184,1313702656,0,0
1785936783,t2b348,298766848,1313626560,0,0
1785936787,t2b348,298772992,1313640000,0,0
1785936790,t2b348,298733760,1313618240,0,0
1785936794,t2b348,298660544,1313554240,0,0
1785936798,t2b348,298761792,1313661312,0,0
1785936801,t2b348,298752576,1313676224,0,0
1785936805,t2b348,298706048,1313655680,0,0
1785936808,t2b348,298788672,1313750464,0,0
1785936812,t2b348,298669824,1313629696,0,0
1785936816,t2b348,298695872,1313671232,0,0
1785936819,t2b348,298627072,1313618176,0,0
1785936823,t2b348,298499968,1313524416,0,0
1785936826,t2b348,298499648,1313538112,0,0
1785936830,t2b348,298553280,1313608320,0,0
1785936833,t2b348,298542912,1313617920,0,0
1785936837,t2b348,298577344,1313667968,0,0
1785936840,t2b348,298637184,1313760000,0,0
1785936844,t2b348,298817728,1313918400,0,0
1785936848,t2b348,298873216,1313987136,0,0
1785936851,t2b348,298731392,1313838784,0,0
1785936855,t2b348,298798592,1313923328,0,0
1785936858,t2b348,298875456,1314014976,0,0
1785936862,t2b348,298568640,1313721280,0,0
1785936865,t2b348,298475904,1313495232,0,0
1785936869,t2b348,298592512,1313321856,0,0
1785936873,t2b348,298528640,1312929088,0,0
1785936876,t2b348,298664448,1312707200,0,0
1785936880,t2b348,299184832,1312373632,0,0
1785936884,t2b348,299031424,1311735488,0,0
1785936887,t2b348,297955200,1310651584,0,0
1785936891,t2b348,296622528,1309317568,0,0
1785936895,t2b348,295310016,1308007808,0,0
1785936899,t2b348,294071552,1306771712,0,0
1785936902,t2b348,293417024,1306101312,0,0
1785936906,t2b348,292735168,1305438144,0,0
1785936910,t2b348,291929280,1304619968,0,0
1785936914,t2b348,290902720,1303600128,0,0
1785936917,t2b348,289967488,1302663680,0,0
1785936921,t2b348,289068224,1301812160,0,0
1785936925,t2b348,288289664,1301152448,0,0
1785936928,t2b348,287816576,1300682752,0,0
1785936932,t2b348,287325056,1300190208,0,0
1785936936,t2b348,286525888,1299386944,0,0
1785936940,t2b348,286573248,1299436864,0,0
1785936944,t2b348,285995328,1298859968,0,0
1785936947,t2b348,285517568,1298374912,0,0
1785936951,t2b348,285115904,1297976896,0,0
1785936955,t2b348,284796096,1297661760,0,0
1785936959,t2b348,284057280,1296920640,0,0
1785936962,t2b348,283665792,1296531840,0,0
1785936966,t2b348,283203584,1296072192,0,0
1785936970,t2b348,282829184,1295690624,0,0
1785936973,t2b348,282111040,1294980032,0,0
1785936977,t2b348,281346688,1294215296,0,0
1785936981,t2b348,280818112,1293677568,0,0
1785936985,t2b348,279773696,1292740032,0,0
1785936989,t2b348,278883008,1289073984,0,0
1785936993,t2b348,272343808,1281378688,0,0
1785936997,t2b348,252032256,1256757760,0,0
1785937001,t2b348,247542784,1222780736,0,0
1785937005,t2b348,236026432,1187302016,0,0
