epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785944065,f2t3_368000,322607488,1319200512,619190272
1785944068,f2t3_368000,322337280,1318936832,619190272
1785944070,f2t3_368000,321958464,1318565632,619190272
1785944072,f2t3_368000,321688640,1318302528,619190272
1785944074,f2t3_368000,321433472,1318055424,619190272
1785944076,f2t3_368000,321136256,1317764992,619190272
1785944078,f2t3_368000,320931712,1317564224,619190272
1785944080,f2t3_368000,320721024,1317360320,619190272
1785944082,f2t3_368000,320578368,1317222208,619190272
1785944084,f2t3_368000,320507648,1317154624,619190272
1785944086,f2t3_368000,320495680,1317149248,619190272
1785944088,f2t3_368000,320620736,1317277952,619190272
1785944090,f2t3_368000,320591744,1317252992,619190272
1785944092,f2t3_368000,320612096,1317278016,619190272
1785944094,f2t3_368000,320603712,1317271296,619190272
1785944096,f2t3_368000,320584640,1317257152,619190272
1785944098,f2t3_368000,320577792,1317255360,619190272
1785944100,f2t3_368000,320597824,1317278080,619190272
1785944102,f2t3_368000,320585088,1317271680,619190272
1785944104,f2t3_368000,320634048,1317323520,619190272
1785944106,f2t3_368000,320493312,1317187968,619190272
1785944108,f2t3_368000,320452992,1317149312,619190272
1785944111,f2t3_368000,320368832,1317071168,619190272
1785944113,f2t3_368000,320289280,1316995648,619190272
1785944115,f2t3_368000,320237312,1316944640,619190272
1785944117,f2t3_368000,320319488,1317031104,619190272
1785944119,f2t3_368000,320368320,1317083456,619190272
1785944121,f2t3_368000,320336960,1317056896,619190272
1785944123,f2t3_368000,320313472,1317035584,619190272
1785944125,f2t3_368000,320233664,1316959936,619190272
1785944127,f2t3_368000,320176320,1316907072,619190272
1785944129,f2t3_368000,320183360,1316917824,619190272
1785944131,f2t3_368000,320340992,1317079808,619190272
1785944133,f2t3_368000,320287808,1317029312,619190272
1785944135,f2t3_368000,320204288,1316949824,619190272
1785944137,f2t3_368000,320075392,1316824768,619190272
1785944139,f2t3_368000,320093376,1316845440,619190272
1785944141,f2t3_368000,320118720,1316873152,619190272
1785944143,f2t3_368000,320134144,1316894144,619190272
1785944145,f2t3_368000,320213248,1316982272,619190272
1785944147,f2t3_368000,320191360,1316960640,619190272
1785944149,f2t3_368000,320212800,1316985408,619190272
1785944152,f2t3_368000,320263744,1317042304,619190272
1785944154,f2t3_368000,320319488,1317102208,619190272
1785944156,f2t3_368000,320216896,1317004864,619190272
1785944158,f2t3_368000,320234176,1317022656,619190272
1785944160,f2t3_368000,320170624,1316948992,619190272
1785944162,f2t3_368000,320210752,1316993472,619190272
1785944164,f2t3_368000,320247360,1317036416,619190272
1785944166,f2t3_368000,320188544,1316984640,619190272
1785944168,f2t3_368000,320259968,1317061312,619190272
1785944170,f2t3_368000,320216960,1317024448,619190272
1785944172,f2t3_368000,320228096,1316922432,619448320
1785944174,f2t3_368000,320099776,1316637120,619798528
1785944176,f2t3_368000,320190848,1316652800,620038144
1785944178,f2t3_368000,320210624,1316634560,620314624
1785944180,f2t3_368000,320214080,1316568256,620830720
1785944182,f2t3_368000,320194688,1316285952,621531136
1785944184,f2t3_368000,320100672,1316045568,622065664
1785944186,f2t3_368000,320055040,1315735744,622673920
1785944188,f2t3_368000,319950848,1315667904,623263744
1785944190,f2t3_368000,319246848,1315135488,623687680
1785944192,f2t3_368000,318583552,1314658496,624203776
1785944195,f2t3_368000,317902528,1314172928,624922624
1785944197,f2t3_368000,317255680,1313717056,625346560
1785944199,f2t3_368000,316546688,1313226240,625899520
1785944201,f2t3_368000,316041728,1312925056,626360320
1785944203,f2t3_368000,315519360,1312573120,626987008
1785944205,f2t3_368000,314926336,1312149440,627410944
